running,avg_speed,avg_size,avg_energy,avg_age,avg_vision,trees,entities,avg_apples
True,5.0,6.0,91.70000000000041,1.3833333333333335,75.0,50,50,0.0
True,5.0,6.0,91.6000000000004,1.3999999999999997,75.0,50,50,0.0
True,5.0,6.0,91.50000000000051,1.4166666666666663,75.0,50,50,0.0
True,5.0,6.0,91.40000000000053,1.4333333333333322,75.0,50,50,0.0
True,5.0,6.0,91.30000000000051,1.450000000000001,75.0,50,50,0.0
True,5.0,6.0,91.20000000000061,1.4666666666666675,75.0,50,50,0.0
True,5.0,6.0,91.10000000000045,1.4833333333333336,75.0,50,50,0.0
True,5.0,6.0,91.00000000000051,1.4999999999999998,75.0,50,50,0.0
True,5.0,6.0,90.90000000000053,1.516666666666666,75.0,50,50,0.0
True,5.0,6.0,90.80000000000057,1.533333333333332,75.0,50,50,0.0
True,5.0,6.0,90.70000000000061,1.5499999999999983,75.0,50,50,0.0
True,5.0,6.0,90.60000000000045,1.5666666666666642,75.0,50,50,0.0
True,5.0,6.0,90.50000000000053,1.5833333333333328,75.0,50,50,0.0
True,5.0,6.0,90.40000000000055,1.5999999999999988,75.0,50,50,0.0
True,5.0,6.0,90.30000000000057,1.6166666666666654,75.0,50,50,0.0
True,5.0,6.0,90.20000000000064,1.633333333333331,75.0,50,50,0.0
True,5.0,6.0,90.10000000000048,1.6500000000000004,75.0,50,50,0.0
True,5.0,6.0,90.00000000000053,1.6666666666666663,75.0,50,50,0.0
True,5.0,6.0,89.90000000000056,1.683333333333333,75.0,50,50,0.0
True,5.0,6.0,89.80000000000058,1.6999999999999988,75.0,50,50,0.0
True,5.0,6.0,89.70000000000064,1.7166666666666672,75.0,50,50,0.0
True,5.0,6.0,89.60000000000048,1.7333333333333332,75.0,50,50,0.0
True,5.0,6.0,89.50000000000058,1.7499999999999998,75.0,50,50,0.0
True,5.0,6.0,89.40000000000056,1.7666666666666655,75.0,50,50,0.0
True,5.0,6.0,89.30000000000058,1.7833333333333317,75.0,50,50,0.0
True,5.0,6.0,89.20000000000068,1.7999999999999974,75.0,50,50,0.0
True,5.0,6.0,89.10000000000068,1.816666666666664,75.0,50,50,0.0
True,5.0,6.0,89.00000000000058,1.8333333333333297,75.0,50,50,0.0
True,5.0,6.0,88.90000000000059,1.849999999999998,75.0,50,50,0.0
True,5.0,6.0,88.80000000000065,1.866666666666664,75.0,50,50,0.0
True,5.0,6.0,88.70000000000068,1.8833333333333302,75.0,50,50,0.0
True,5.0,6.0,88.60000000000069,1.899999999999996,75.0,50,50,0.0
True,5.0,6.0,88.50000000000058,1.916666666666667,75.0,50,50,0.0
True,5.0,6.0,88.40000000000059,1.9333333333333327,75.0,50,50,0.0
True,5.0,6.0,88.30000000000068,1.949999999999999,75.0,50,50,0.0
True,5.0,6.0,88.20000000000071,1.9666666666666652,75.0,50,50,0.0
True,5.0,6.0,88.1000000000007,1.9833333333333332,75.0,50,50,0.0
True,5.0,6.0,88.0000000000008,1.9999999999999991,75.0,50,50,0.0
True,5.0,6.0,87.90000000000063,2.0166666666666653,75.0,50,50,0.0
True,5.0,6.0,87.80000000000068,2.033333333333331,75.0,50,50,0.0
True,5.0,6.0,87.70000000000071,2.0499999999999976,75.0,50,50,0.0
True,5.0,6.0,87.60000000000076,2.0666666666666633,75.0,50,50,0.0
True,5.0,6.0,87.5000000000008,2.0833333333333295,75.0,50,50,0.0
True,5.0,6.0,87.40000000000066,2.0999999999999956,75.0,50,50,0.0
True,5.0,6.0,87.3000000000007,2.1166666666666636,75.0,50,50,0.0
True,5.0,6.0,87.20000000000073,2.1333333333333293,75.0,50,50,0.0
True,5.0,6.0,87.10000000000076,2.1499999999999955,75.0,50,50,0.0
True,5.0,6.0,87.0000000000008,2.166666666666661,75.0,50,50,0.0
True,5.0,6.0,86.90000000000066,2.183333333333333,75.0,50,50,0.0
True,5.0,6.0,86.8000000000007,2.199999999999999,75.0,50,50,0.0
True,5.0,6.0,86.70000000000074,2.2166666666666655,75.0,50,50,0.0
True,5.0,6.0,86.60000000000078,2.233333333333331,75.0,50,50,0.0
True,5.0,6.0,86.50000000000082,2.2499999999999987,75.0,50,50,0.0
True,5.0,6.0,86.40000000000066,2.266666666666665,75.0,50,50,0.0
True,5.0,6.0,86.30000000000075,2.283333333333331,75.0,50,50,0.0
True,5.0,6.0,86.20000000000074,2.2999999999999967,75.0,50,50,0.0
